id,firstName,lastName,heightInInches,weightInPounds,dateOfBirth
1,George,Washington,74,175.1,1732-02-22
2,John,Adams,67,149.9,1735-10-30
3,Thomas,Jefferson,74,174.0,1743-04-13
4,James,Madison,64,100.1,1751-03-16
5,James,Monroe,72,189.0,1758-04-28
6,John Quincy,Adams,67,175.1,1767-07-11
7,Andrew,Jackson,73,140.0,1767-03-15
8,Martin,Van Buren,66,164.1,1782-12-05
9,William Henry,Harrison,68,162.1,1773-02-09
10,John,Tyler,72,160.1,1790-03-29
11,James K.,Polk,68,174.0,1795-11-02
12,Zachary,Taylor,68,170.0,1784-11-24
13,Millard,Fillmore,69,174.0,1800-01-07
14,Franklin,Pierce,70,144.0,1804-11-23
15,James,Buchanan,72,198.0,1791-04-23
16,Abraham,Lincoln,76,179.9,1809-02-12
17,Andrew,Johnson,70,174.0,1808-12-29
18,Ulysses S.,Grant,68,156.1,1822-04-27
19,Rutherford B.,Hayes,69,175.1,1822-10-04
20,James A.,Garfield,72,184.1,1831-11-19
21,Chester A.,Arthur,74,224.0,1829-10-05
22,Grover,Cleveland,71,260.0,1837-03-18
23,Benjamin,Harrison,66,160.1,1833-08-20
24,Grover,Cleveland,67,260.0,1837-03-18
25,William,McKinley,67,199.1,1843-01-29
26,Theodore,Roosevelt,70,210.1,1858-10-27
27,William Howard,Taft,72,340.0,1857-09-15
28,Woodrow,Wilson,71,170.0,1856-12-28
29,Warren G.,Harding,72,173.1,1865-11-02
30,Calvin,Coolidge,70,148.0,1872-07-04
31,Herbert,Hoover,72,187.0,1874-08-10
32,Franklin D.,Roosevelt,74,188.1,1882-01-30
33,Harry S.,Truman,69,166.9,1884-05-08
34,Dwight D.,Eisenhower,70,171.1,1890-10-14
35,John F.,Kennedy,73,173.1,1917-05-29
36,Lyndon B.,Johnson,76,200.0,1908-08-27
37,Richard,Nixon,72,175.1,1913-01-09
38,Gerald,Ford,72,190.1,1913-07-14
39,Jimmy,Carter,70,160.1,1924-10-01
40,Ronald,Reagan,73,185.0,1911-02-06
41,George H. W.,Bush,74,196.0,1924-06-12
42,Bill,Clinton,74,223.1,1946-08-19
43,George W.,Bush,72,195.4,1946-07-06
44,Barack,Obama,74,179.9,1961-08-04
45,Donald,Trump,75,239.0,1946-06-14
46,Joe,Biden,72,177.9,1942-11-20
